,0
0,10000
1,0
2,10000
3,10000
4,10000
5,10000
6,3
7,10000
8,10000
9,385
10,8
11,10000
12,0
13,0
14,10000
15,10000
16,10000
17,10000
18,10000
19,40
20,10000
21,10000
22,0
23,84
24,0
25,392
26,16
27,10000
28,10000
29,10000
30,21
31,10000
32,10000
33,16
34,10000
35,10000
36,10000
37,274
38,10000
39,10000
40,10000
41,10000
42,10000
43,10000
44,420
45,2
46,20
47,138
48,13
49,25
50,28
51,0
52,10000
53,10000
54,0
55,0
56,10000
57,10000
58,10000
59,10000
60,43
61,7
62,41
63,10000
64,0
65,10000
66,527
67,0
68,10000
69,68
70,10000
71,10000
72,73
73,10000
74,17
75,851
76,10000
77,236
78,256
79,0
80,10000
81,0
82,10000
83,10000
84,1089
85,10000
86,10000
87,10000
88,0
89,10000
90,566
91,10000
92,24
93,166
94,2
95,254
96,67
97,345
98,10000
99,931
100,10000
101,10000
102,10000
103,10000
104,403
105,197
106,390
107,414
108,10000
109,10000
110,159
111,10000
112,13
113,10000
114,0
115,398
116,190
117,10000
118,10000
119,10000
120,10000
121,352
122,10000
123,10000
124,10000
125,16
126,10000
127,327
128,89
129,10000
130,612
131,37
132,100
133,10000
134,771
135,10000
136,10000
137,10000
138,10000
139,644
140,10000
141,10000
142,1085
143,10000
144,132
145,10000
146,10000
147,10000
148,10000
149,10000
150,248
151,0
152,10000
153,0
154,10000
155,10000
156,1013
157,10000
158,10000
159,10000
160,0
161,224
162,10000
163,260
164,35
165,524
166,87
167,10000
168,864
169,249
170,10000
171,10000
172,10000
173,487
174,10000
175,10000
176,101
177,10000
178,0
179,177
180,10000
181,644
182,0
183,0
184,0
185,2
186,3
187,902
188,10000
189,10000
190,10000
191,10000
192,10000
193,10000
194,10000
195,1
196,10000
197,10000
198,10000
199,265
200,47
201,0
202,10000
203,10000
204,250
205,10000
206,10000
207,10000
208,10000
209,95
210,5
211,10000
212,252
213,30
214,1
215,10000
216,197
217,1258
218,80
219,484
220,10000
221,541
222,99
223,10000
224,493
225,10000
226,0
227,10000
228,362
229,288
230,19
231,10000
232,648
233,475
234,10000
235,10000
236,10000
237,10000
238,10000
239,17
240,10000
241,83
242,10000
243,10000
244,10000
245,319
246,10000
247,60
248,10000
249,10000
250,820
251,10000
252,10000
253,157
254,10000
255,10000
256,10000
257,0
258,10000
259,10000
260,10000
261,1
262,10000
263,10
264,10000
265,0
266,4
267,665
268,10000
269,10000
270,1059
271,10000
272,468
273,504
274,30
275,10000
276,10000
277,10000
278,10000
279,33
280,0
281,46
282,10000
283,679
284,654
285,300
286,2
287,10000
288,0
289,10000
290,213
291,10000
292,82
293,10000
294,10000
295,207
296,145
297,30
298,10000
299,10000
300,10000
301,218
302,10000
303,81
304,243
305,10000
306,29
307,559
308,10000
309,10000
310,10000
311,10000
312,9
313,10000
314,10000
315,10000
316,10000
317,403
318,79
319,10000
320,182
321,461
322,77
323,10000
324,26
325,248
326,5
327,724
328,10000
329,10000
330,652
331,2
332,231
333,12
334,146
335,10000
336,10000
337,11
338,10000
339,10000
340,10000
341,10000
342,10000
343,10000
344,10000
345,10000
346,10000
347,217
348,10000
349,645
350,10000
351,1
352,10000
353,53
354,7
355,111
356,142
357,10000
358,10000
359,10000
360,10000
361,10000
362,248
363,10000
364,551
365,10000
366,10000
367,10000
368,97
369,10000
370,110
371,10000
372,130
373,10000
