,0
0,0
1,10000
2,0
3,0
4,0
5,0
6,9997
7,0
8,0
9,9615
10,9992
11,0
12,10000
13,10000
14,0
15,0
16,0
17,0
18,0
19,9960
20,0
21,0
22,10000
23,9916
24,10000
25,9608
26,9984
27,0
28,0
29,0
30,9979
31,0
32,0
33,9984
34,0
35,0
36,0
37,9726
38,0
39,0
40,0
41,0
42,0
43,0
44,9580
45,9998
46,9980
47,9862
48,9987
49,9975
50,9972
51,10000
52,0
53,0
54,10000
55,10000
56,0
57,0
58,0
59,0
60,9957
61,9993
62,9959
63,0
64,10000
65,0
66,9473
67,10000
68,0
69,9932
70,0
71,0
72,9927
73,0
74,9983
75,9149
76,0
77,9764
78,9744
79,10000
80,0
81,10000
82,0
83,0
84,8911
85,0
86,0
87,0
88,10000
89,0
90,9434
91,0
92,9976
93,9834
94,9998
95,9746
96,9933
97,9655
98,0
99,9069
100,0
101,0
102,0
103,0
104,9597
105,9803
106,9610
107,9586
108,0
109,0
110,9841
111,0
112,9987
113,0
114,10000
115,9602
116,9810
117,0
118,0
119,0
120,0
121,9648
122,0
123,0
124,0
125,9984
126,0
127,9673
128,9911
129,0
130,9388
131,9963
132,9900
133,0
134,9229
135,0
136,0
137,0
138,0
139,9356
140,0
141,0
142,8915
143,0
144,9868
145,0
146,0
147,0
148,0
149,0
150,9752
151,10000
152,0
153,10000
154,0
155,0
156,8987
157,0
158,0
159,0
160,10000
161,9776
162,0
163,9740
164,9965
165,9476
166,9913
167,0
168,9136
169,9751
170,0
171,0
172,0
173,9513
174,0
175,0
176,9899
177,0
178,10000
179,9823
180,0
181,9356
182,10000
183,10000
184,10000
185,9998
186,9997
187,9098
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,9999
196,0
197,0
198,0
199,9735
200,9953
201,10000
202,0
203,0
204,9750
205,0
206,0
207,0
208,0
209,9905
210,9995
211,0
212,9748
213,9970
214,9999
215,0
216,9803
217,8742
218,9920
219,9516
220,0
221,9459
222,9901
223,0
224,9507
225,0
226,10000
227,0
228,9638
229,9712
230,9981
231,0
232,9352
233,9525
234,0
235,0
236,0
237,0
238,0
239,9983
240,0
241,9917
242,0
243,0
244,0
245,9681
246,0
247,9940
248,0
249,0
250,9180
251,0
252,0
253,9843
254,0
255,0
256,0
257,10000
258,0
259,0
260,0
261,9999
262,0
263,9990
264,0
265,10000
266,9996
267,9335
268,0
269,0
270,8941
271,0
272,9532
273,9496
274,9970
275,0
276,0
277,0
278,0
279,9967
280,10000
281,9954
282,0
283,9321
284,9346
285,9700
286,9998
287,0
288,10000
289,0
290,9787
291,0
292,9918
293,0
294,0
295,9793
296,9855
297,9970
298,0
299,0
300,0
301,9782
302,0
303,9919
304,9757
305,0
306,9971
307,9441
308,0
309,0
310,0
311,0
312,9991
313,0
314,0
315,0
316,0
317,9597
318,9921
319,0
320,9818
321,9539
322,9923
323,0
324,9974
325,9752
326,9995
327,9276
328,0
329,0
330,9348
331,9998
332,9769
333,9988
334,9854
335,0
336,0
337,9989
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,9783
348,0
349,9355
350,0
351,9999
352,0
353,9947
354,9993
355,9889
356,9858
357,0
358,0
359,0
360,0
361,0
362,9752
363,0
364,9449
365,0
366,0
367,0
368,9903
369,0
370,9890
371,0
372,9870
373,0
374,0
375,9955
376,0
377,9334
378,0
379,9876
380,9193
381,0
382,10000
383,0
384,0
385,0
386,0
387,0
388,0
389,10000
390,9894
391,9606
392,9819
393,0
394,9581
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,9893
404,0
405,9999
406,9880
407,9981
408,9980
409,0
410,9998
411,0
412,9999
413,9612
414,10000
415,0
416,9995
417,9999
418,0
419,0
420,0
421,9865
422,9988
423,9565
424,9590
425,9551
426,0
427,0
428,0
429,0
430,9870
431,0
432,10000
433,9534
434,0
435,9194
436,0
437,0
438,0
439,0
440,0
441,9999
442,0
443,9499
444,9858
445,9601
446,9956
447,9980
448,9994
449,9603
450,9631
451,9992
452,0
453,0
454,9982
455,9656
456,0
457,0
458,0
459,0
460,9187
461,0
462,0
463,0
464,0
465,9288
466,9985
467,0
468,0
469,9789
470,10000
471,9996
472,0
473,9940
474,9774
475,0
476,0
477,9887
478,0
479,0
480,9853
481,0
482,0
483,0
484,9966
485,0
486,9990
487,9946
488,9373
489,0
490,0
491,9977
492,9985
493,9669
494,9917
495,0
496,9317
497,9382
498,9976
499,0
500,9991
501,9808
502,9992
503,0
504,0
505,0
506,8775
507,0
508,9765
509,9988
510,9483
511,0
512,9707
513,10000
514,10000
515,0
516,10000
517,9847
518,9947
519,0
520,9944
521,0
522,0
523,9885
524,0
525,9741
526,9767
527,9220
528,9736
529,9205
530,0
531,0
532,10000
533,0
534,9998
535,9117
536,10000
537,0
538,0
539,9890
540,9314
541,0
542,9829
543,9790
544,9747
545,9916
546,0
547,9807
548,0
549,0
550,0
551,0
552,9886
553,0
554,0
555,0
556,0
557,10000
558,9967
559,9350
560,9779
561,0
562,0
563,0
564,9861
565,0
566,9915
567,0
568,10000
569,9999
570,0
571,0
572,9999
573,0
574,9998
575,0
576,0
577,10000
578,0
579,0
580,9238
581,0
582,9969
583,0
584,0
585,0
586,0
587,10000
588,0
589,0
590,9677
591,9936
592,9990
593,9941
594,0
595,0
596,9859
597,0
598,0
599,9707
600,10000
601,0
602,9849
603,0
604,9940
605,0
606,0
607,9398
608,9943
609,9998
610,9892
611,0
612,8895
613,0
614,9922
615,0
616,0
617,0
618,9548
619,0
620,0
621,0
622,9741
623,0
624,0
625,0
626,9680
627,0
628,9374
629,9376
630,0
