tpr,fpr,precision,recall,f1,mcc,gt_correct,gt_incorrect,correct,incorrect,uncertain,tps,fps,tns,fns,tool,model,run
92.13,36.83,79.81,92.13,85.53,0.592,856.0,202.0,310.0,748.0,0.0,597,151,259,51,deepinfer,BM1,99
47.36,48.92,51.08,47.36,49.15,-0.016,520.0,538.0,549.0,509.0,0.0,260,249,260,289,deepinfer,BM10,101
56.61,59.47,52.37,56.61,54.41,-0.029,520.0,538.0,445.0,613.0,0.0,321,292,199,246,deepinfer,BM11,92
82.49,18.2,81.07,82.49,81.77,0.643,869.0,189.0,535.0,523.0,0.0,424,99,445,90,deepinfer,BM12,95
64.4,8.73,80.66,64.4,71.62,0.59,863.0,195.0,753.0,305.0,0.0,246,59,617,136,deepinfer,BM2,91
88.89,32.24,80.23,88.89,84.34,0.587,850.0,208.0,360.0,698.0,0.0,560,138,290,70,deepinfer,BM3,93
78.0,17.99,81.94,78.0,79.92,0.6,846.0,212.0,543.0,515.0,0.0,422,93,424,119,deepinfer,BM4,98
84.72,22.56,77.36,84.72,80.87,0.621,856.0,202.0,506.0,552.0,0.0,427,125,429,77,deepinfer,BM5,94
91.33,37.53,80.71,91.33,85.69,0.575,854.0,204.0,301.0,757.0,0.0,611,146,243,58,deepinfer,BM6,100
69.57,11.02,80.22,69.57,74.51,0.603,861.0,197.0,699.0,359.0,0.0,288,71,573,126,deepinfer,BM7,90
81.06,16.98,82.63,81.06,81.84,0.641,868.0,190.0,540.0,518.0,0.0,428,90,440,100,deepinfer,BM8,96
0.0,0.0,0.0,0.0,0.0,0.0,857.0,201.0,1058.0,0.0,0.0,0,0,857,201,deepinfer,BM9,97
89.48,26.65,72.52,89.48,80.11,0.626,8045.0,1955.0,4570.0,5430.0,0.0,3938,1492,4107,463,deepinfer,CIFAR10,119
66.67,32.73,62.5,66.67,64.52,0.338,67.0,33.0,52.0,48.0,0.0,30,18,37,15,deepinfer,GC1,107
88.33,65.0,67.09,88.33,76.26,0.281,67.0,33.0,21.0,79.0,0.0,53,26,14,7,deepinfer,GC2,109
41.03,16.39,61.54,41.03,49.23,0.274,67.0,33.0,74.0,26.0,0.0,16,10,51,23,deepinfer,GC3,102
58.46,17.14,86.36,58.46,69.72,0.397,67.0,33.0,56.0,44.0,0.0,38,6,29,27,deepinfer,GC4,105
48.94,16.98,71.88,48.94,58.23,0.342,67.0,33.0,68.0,32.0,0.0,23,9,44,24,deepinfer,GC5,103
61.54,22.86,83.33,61.54,70.8,0.369,67.0,33.0,52.0,48.0,0.0,40,8,27,25,deepinfer,GC6,104
80.65,55.26,70.42,80.65,75.19,0.272,67.0,33.0,29.0,71.0,0.0,50,21,17,12,deepinfer,GC7,108
52.38,8.11,91.67,52.38,66.67,0.445,67.0,33.0,64.0,36.0,0.0,33,3,34,30,deepinfer,GC8,110
70.31,38.89,76.27,70.31,73.17,0.307,67.0,33.0,41.0,59.0,0.0,45,14,22,19,deepinfer,GC9,106
79.01,7.69,92.75,79.01,85.33,0.71,124.0,22.0,77.0,68.0,1.0,64,5,60,17,deepinfer,HP1,114
77.78,10.81,87.5,77.78,82.35,0.675,122.0,24.0,82.0,64.0,0.0,56,8,66,16,deepinfer,HP2,113
0.0,0.0,0.0,0.0,0.0,0.0,74.0,72.0,146.0,0.0,0.0,0,0,74,72,deepinfer,HP3,112
85.71,10.53,88.24,85.71,86.96,0.753,128.0,18.0,78.0,68.0,0.0,60,8,68,10,deepinfer,HP4,111
61.76,6.98,87.5,61.76,72.41,0.587,61.0,16.0,53.0,22.0,2.0,21,3,40,13,deepinfer,PD1,116
0.0,0.0,0.0,0.0,0.0,0.0,45.0,32.0,77.0,0.0,0.0,0,0,45,32,deepinfer,PD2,115
57.58,38.64,52.78,57.58,55.07,0.188,46.0,31.0,41.0,36.0,0.0,19,17,27,14,deepinfer,PD3,118
93.75,41.38,78.95,93.75,85.71,0.579,62.0,15.0,20.0,57.0,0.0,45,12,17,3,deepinfer,PD4,117
31.03,5.08,63.16,31.03,41.62,0.346,856.0,202.0,944.0,114.0,0.0,72,42,784,160,prophecy,BM1,39
72.46,60.29,32.74,72.46,45.1,0.115,520.0,538.0,383.0,675.0,0.0,221,454,299,84,prophecy,BM10,41
72.01,60.68,33.78,72.01,45.98,0.108,520.0,538.0,380.0,678.0,0.0,229,449,291,89,prophecy,BM11,32
51.18,8.08,66.67,51.18,57.91,0.475,869.0,189.0,863.0,82.0,113.0,130,65,739,124,prophecy,BM12,35
33.04,5.17,63.56,33.04,43.48,0.363,863.0,195.0,940.0,118.0,0.0,75,43,788,152,prophecy,BM2,31
69.7,14.1,72.08,69.7,70.87,0.561,850.0,208.0,707.0,60.0,291.0,253,98,597,110,prophecy,BM3,33
49.83,7.95,71.56,49.83,58.75,0.474,846.0,212.0,847.0,92.0,119.0,151,60,695,152,prophecy,BM4,38
33.47,5.02,66.39,33.47,44.51,0.374,856.0,202.0,936.0,122.0,0.0,81,41,775,161,prophecy,BM5,34
35.86,6.33,62.04,35.86,45.45,0.367,854.0,204.0,921.0,137.0,0.0,85,52,769,152,prophecy,BM6,40
36.97,5.73,65.19,36.97,47.18,0.391,861.0,197.0,923.0,135.0,0.0,88,47,773,150,prophecy,BM7,30
43.32,7.97,58.39,43.32,49.74,0.397,868.0,190.0,897.0,93.0,68.0,94,67,774,123,prophecy,BM8,36
34.82,6.59,58.65,34.82,43.7,0.348,857.0,201.0,925.0,133.0,0.0,78,55,779,146,prophecy,BM9,37
4.89,2.29,32.85,4.89,8.52,0.062,8045.0,1955.0,9723.0,101.0,176.0,91,186,7954,1769,prophecy,CIFAR10,59
