tool,phase,dataset,duration,memory
deepinfer,analyze,BM,3.45,687.58
deepinfer,analyze,CIFAR10,55.72,29150.96
deepinfer,analyze,GC,4.89,661.32
deepinfer,analyze,HP,2.82,643.71
deepinfer,analyze,PD,2.67,659.31
deepinfer,infer,BM,2.63,646.03
deepinfer,infer,CIFAR10,29.01,29146.96
deepinfer,infer,GC,2.64,642.5
deepinfer,infer,HP,2.62,646.69
deepinfer,infer,PD,2.67,648.37
prophecy,analyze,BM,3.94,730.33
prophecy,analyze,CIFAR10,118.42,4177.04
prophecy,analyze,GC,3.33,711.58
prophecy,analyze,HP,3.22,709.97
prophecy,analyze,PD,3.27,710.97
prophecy,infer,BM,3.49,696.4
prophecy,infer,CIFAR10,25.97,2012.66
prophecy,infer,GC,3.04,696.16
prophecy,infer,HP,3.07,699.33
prophecy,infer,PD,3.02,699.5
selfchecker,analyze,BM,9.05,4063.45
selfchecker,analyze,CIFAR10,1930.52,40871.41
selfchecker,analyze,GC,3.51,3959.27
selfchecker,analyze,HP,3.47,4069.1
selfchecker,analyze,PD,3.52,3902.47
selfchecker,infer,BM,4.44,3773.3
selfchecker,infer,CIFAR10,1352.59,7363.5
selfchecker,infer,GC,3.22,3796.63
selfchecker,infer,HP,3.17,3833.67
selfchecker,infer,PD,3.17,3758.48
