tool,model,tpr,fpr,precision,recall,f1,mcc,gt_correct,gt_incorrect,correct,incorrect,uncertain,tps,fps,tns,fns,run
deepinfer,BM1,63.3,8.29,82.31,63.3,71.56,0.587,1713.0,403.0,616.0,1500.0,0.0,507,109,1206,294,38
deepinfer,BM10,51.68,48.45,48.16,51.68,49.85,0.032,1092.0,1024.0,1057.0,1059.0,0.0,509,548,583,476,40
deepinfer,BM11,41.64,40.07,46.47,41.64,43.92,0.016,1092.0,1024.0,863.0,1253.0,0.0,401,462,691,562,31
deepinfer,BM12,81.47,18.23,82.46,81.47,81.97,0.632,1727.0,389.0,1072.0,1044.0,0.0,884,188,843,201,34
deepinfer,BM2,90.92,34.97,81.9,90.92,86.18,0.591,1724.0,392.0,1492.0,624.0,0.0,1222,270,502,122,30
deepinfer,BM3,68.79,11.11,81.06,68.79,74.42,0.596,1707.0,409.0,734.0,1382.0,0.0,595,139,1112,270,32
deepinfer,BM4,79.4,22.18,77.38,79.4,78.38,0.572,1663.0,453.0,1061.0,1055.0,0.0,821,240,842,213,37
deepinfer,BM5,78.62,14.62,84.77,78.62,81.58,0.641,1734.0,382.0,998.0,1118.0,0.0,846,152,888,230,33
deepinfer,BM6,63.46,8.53,81.28,63.46,71.27,0.585,1717.0,399.0,609.0,1507.0,0.0,495,114,1222,285,39
deepinfer,BM7,88.16,29.21,82.33,88.16,85.14,0.604,1721.0,395.0,1375.0,741.0,0.0,1132,243,589,152,29
deepinfer,BM8,83.6,19.87,80.53,83.6,82.04,0.638,1732.0,384.0,1089.0,1027.0,0.0,877,212,855,172,35
deepinfer,BM9,100.0,100.0,81.43,100.0,89.76,0.0,1723.0,393.0,2116.0,0.0,0.0,1723,393,0,0,36
deepinfer,GC1,99.1,1.12,99.1,99.1,99.1,0.98,198.0,2.0,111.0,89.0,0.0,110,1,88,1,46
deepinfer,GC2,97.92,0.66,97.92,97.92,97.92,0.973,198.0,2.0,48.0,152.0,0.0,47,1,151,1,48
deepinfer,GC3,100.0,3.85,98.67,100.0,99.33,0.974,198.0,2.0,150.0,50.0,0.0,148,2,50,0,41
deepinfer,GC4,100.0,2.25,98.23,100.0,99.11,0.98,198.0,2.0,113.0,87.0,0.0,111,2,87,0,44
deepinfer,GC5,96.92,0.0,100.0,96.92,98.44,0.977,198.0,2.0,63.0,137.0,0.0,63,0,135,2,42
deepinfer,GC6,99.27,1.59,99.27,99.27,99.27,0.977,198.0,2.0,137.0,63.0,0.0,136,1,62,1,43
deepinfer,GC7,96.61,0.0,100.0,96.61,98.28,0.976,198.0,2.0,57.0,143.0,0.0,57,0,141,2,47
deepinfer,GC8,99.26,1.54,99.26,99.26,99.26,0.977,198.0,2.0,135.0,65.0,0.0,134,1,64,1,49
deepinfer,GC9,98.68,0.81,98.68,98.68,98.68,0.979,198.0,2.0,76.0,124.0,0.0,75,1,123,1,45
deepinfer,HP1,60.29,74.7,67.02,60.29,63.48,-0.136,147.0,145.0,188.0,98.0,6.0,126,62,21,83,53
deepinfer,HP2,60.29,74.7,67.02,60.29,63.48,-0.136,147.0,145.0,188.0,98.0,6.0,126,62,21,83,52
deepinfer,HP3,100.0,100.0,49.66,100.0,66.36,0.0,145.0,147.0,292.0,0.0,0.0,145,147,0,0,51
deepinfer,HP4,39.56,31.82,67.29,39.56,49.83,0.078,147.0,145.0,107.0,184.0,1.0,72,35,75,110,50
deepinfer,PD1,91.11,41.27,75.93,91.11,82.83,0.538,119.0,34.0,108.0,43.0,2.0,82,26,37,8,55
deepinfer,PD2,100.0,100.0,64.71,100.0,78.57,0.0,99.0,54.0,153.0,0.0,0.0,99,54,0,0,54
deepinfer,PD3,61.45,32.86,68.92,61.45,64.97,0.285,98.0,55.0,74.0,79.0,0.0,51,23,47,32,57
deepinfer,PD4,44.68,15.09,56.76,44.68,50.0,0.319,111.0,42.0,37.0,116.0,0.0,21,16,90,26,56
selfchecker,CIFAR10,63.99,2.97,83.96,63.99,72.63,0.68,,,,,,1251,239,7806,704,59
