timestamp,executed,status,duration,mem_mean,mem_median,mem_peak,return_code,output,tool,benchmark,dataset,model,phase
1712862156,True,success,3.42,385401072.9411765,431067136.0,696721408,0,/experiments/replication/deepinfer/1/BM7/analysis.json,deepinfer,deepinfer_artifacts,BM,BM7,analyze
1712862159,True,success,3.22,450271488.0,476096512.0,692727808,0,/experiments/replication/deepinfer/1/BM2/analysis.json,deepinfer,deepinfer_artifacts,BM,BM2,analyze
1712862162,True,success,2.81,457939529.14285713,479889408.0,699510784,0,/experiments/replication/deepinfer/1/BM11/analysis.json,deepinfer,deepinfer_artifacts,BM,BM11,analyze
1712862165,True,success,3.02,433515997.8666667,464203776.0,695197696,0,/experiments/replication/deepinfer/1/BM3/analysis.json,deepinfer,deepinfer_artifacts,BM,BM3,analyze
1712862168,True,success,3.02,490074112.0,486912000.0,750596096,0,/experiments/replication/deepinfer/1/BM5/analysis.json,deepinfer,deepinfer_artifacts,BM,BM5,analyze
1712862171,True,success,3.42,459391698.8235294,485150720.0,699293696,0,/experiments/replication/deepinfer/1/BM12/analysis.json,deepinfer,deepinfer_artifacts,BM,BM12,analyze
1712862175,True,success,3.22,384701696.0,447109120.0,648118272,0,/experiments/replication/deepinfer/1/BM8/analysis.json,deepinfer,deepinfer_artifacts,BM,BM8,analyze
1712862178,True,success,3.02,484379033.6,491065344.0,747851776,0,/experiments/replication/deepinfer/1/BM9/analysis.json,deepinfer,deepinfer_artifacts,BM,BM9,analyze
1712862181,True,success,4.02,464960921.6,547160064.0,699113472,0,/experiments/replication/deepinfer/1/BM4/analysis.json,deepinfer,deepinfer_artifacts,BM,BM4,analyze
1712862185,True,success,2.81,467376128.0,479332352.0,695209984,0,/experiments/replication/deepinfer/1/BM1/analysis.json,deepinfer,deepinfer_artifacts,BM,BM1,analyze
1712862188,True,success,2.82,462501888.0,475721728.0,689807360,0,/experiments/replication/deepinfer/1/BM6/analysis.json,deepinfer,deepinfer_artifacts,BM,BM6,analyze
1712862191,True,success,3.02,464440251.73333335,487542784.0,668786688,0,/experiments/replication/deepinfer/1/BM10/analysis.json,deepinfer,deepinfer_artifacts,BM,BM10,analyze
1712862194,True,success,2.62,442994688.0,461053952.0,690405376,0,/experiments/replication/deepinfer/1/GC3/analysis.json,deepinfer,deepinfer_artifacts,GC,GC3,analyze
1712862196,True,success,3.22,406790656.0,453298176.0,700297216,0,/experiments/replication/deepinfer/1/GC5/analysis.json,deepinfer,deepinfer_artifacts,GC,GC5,analyze
1712862200,True,success,2.81,397482861.7142857,452356096.0,645201920,0,/experiments/replication/deepinfer/1/GC6/analysis.json,deepinfer,deepinfer_artifacts,GC,GC6,analyze
1712862202,True,success,2.62,448646537.84615386,462565376.0,729260032,0,/experiments/replication/deepinfer/1/GC4/analysis.json,deepinfer,deepinfer_artifacts,GC,GC4,analyze
1712862205,True,success,3.02,397538099.2,442302464.0,762814464,0,/experiments/replication/deepinfer/1/GC9/analysis.json,deepinfer,deepinfer_artifacts,GC,GC9,analyze
1712862208,True,success,2.81,411827346.2857143,452888576.0,687493120,0,/experiments/replication/deepinfer/1/GC1/analysis.json,deepinfer,deepinfer_artifacts,GC,GC1,analyze
1712862211,True,success,2.82,414495890.2857143,454076416.0,693354496,0,/experiments/replication/deepinfer/1/GC7/analysis.json,deepinfer,deepinfer_artifacts,GC,GC7,analyze
1712862214,True,success,2.82,411951981.7142857,450422784.0,691900416,0,/experiments/replication/deepinfer/1/GC2/analysis.json,deepinfer,deepinfer_artifacts,GC,GC2,analyze
1712862217,True,success,2.81,412255963.4285714,449839104.0,694706176,0,/experiments/replication/deepinfer/1/GC8/analysis.json,deepinfer,deepinfer_artifacts,GC,GC8,analyze
1712862219,True,success,2.62,442688118.1538461,462589952.0,685215744,0,/experiments/replication/deepinfer/1/HP4/analysis.json,deepinfer,deepinfer_artifacts,HP,HP4,analyze
1712862222,True,success,2.62,449347899.0769231,469303296.0,692367360,0,/experiments/replication/deepinfer/1/HP3/analysis.json,deepinfer,deepinfer_artifacts,HP,HP3,analyze
1712862225,True,success,2.62,448318227.6923077,467050496.0,693907456,0,/experiments/replication/deepinfer/1/HP2/analysis.json,deepinfer,deepinfer_artifacts,HP,HP2,analyze
1712862227,True,success,2.61,444870971.0769231,463642624.0,689647616,0,/experiments/replication/deepinfer/1/HP1/analysis.json,deepinfer,deepinfer_artifacts,HP,HP1,analyze
1712862230,True,success,2.62,445318065.2307692,464666624.0,689446912,0,/experiments/replication/deepinfer/1/PD2/analysis.json,deepinfer,deepinfer_artifacts,PD,PD2,analyze
1712862233,True,success,2.61,448828022.1538461,465154048.0,697958400,0,/experiments/replication/deepinfer/1/PD1/analysis.json,deepinfer,deepinfer_artifacts,PD,PD1,analyze
